Category	1B	2F	2I	3F	3G	4E	4I	5C	5G	8A	9D	9E
Assigned	8618532	9302809	7292396	8185973	8486583	8348217	10460517	7849863	8930606	8397916	8003047	8802211
Unassigned_Unmapped	179476	201526	77752	198628	186914	212777	88577	93626	78799	120944	126339	137604
Unassigned_MappingQuality	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_Chimera	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_FragmentLength	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_Duplicate	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_MultiMapping	1444014	1620092	1232653	1406037	1478634	1432903	1917995	1578046	1589557	2272679	1341606	1503246
Unassigned_Secondary	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_NonSplit	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_NoFeatures	326864	423184	299585	358105	389004	352076	375042	316560	323666	320613	291669	353417
Unassigned_Overlapping_Length	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_Ambiguity	447716	492491	379021	475591	480142	434238	594371	403291	502935	476460	432026	448968
